benchmark,config,status,solved,sat,unsat,noproperty,best,time_cpu,memory
array-examples/sanfoundry_10_ground.yml,uautomizer_default,to,0,0,0,0,0,900.4,1724.6
array-examples/sanfoundry_24-2.yml,cbmc_default,ee,0,0,0,1,0,0.1,6.8
array-examples/sanfoundry_24-2.yml,esbmc_default,ee,0,0,0,1,0,0.1,6.7
array-examples/sanfoundry_24-2.yml,uautomizer_bitprecise,ee,0,0,0,1,0,0.1,6.6
array-examples/sanfoundry_24-2.yml,uautomizer_default,ee,0,0,0,1,0,0.1,6.6
array-examples/sanfoundry_43_ground.yml,cbmc_default,ok,1,0,1,0,0,220.7,5403.1
array-examples/sanfoundry_43_ground.yml,esbmc_default,ok,1,0,1,0,0,140.3,2109.1
array-examples/sanfoundry_43_ground.yml,uautomizer_bitprecise,ok,1,0,1,0,0,24.0,320.6
array-examples/sanfoundry_43_ground.yml,uautomizer_default,ok,1,0,1,0,1,20.9,310.6
array-examples/sorting_selectionsort_2_ground.yml,cbmc_default,mo,0,0,0,0,0,508.3,15000.0
array-examples/sorting_selectionsort_2_ground.yml,esbmc_default,mo,0,0,0,0,0,311.6,15000.0
array-examples/sorting_selectionsort_2_ground.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.6,718.1
array-examples/sorting_selectionsort_2_ground.yml,uautomizer_default,to,0,0,0,0,0,900.9,1767.3
array-examples/sorting_selectionsort_ground-1.yml,cbmc_default,mo,0,0,0,0,0,514.1,15000.0
array-examples/sorting_selectionsort_ground-1.yml,esbmc_default,mo,0,0,0,0,0,323.5,15000.0
array-examples/sorting_selectionsort_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.5,497.0
array-examples/sorting_selectionsort_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.5,1915.0
array-examples/sorting_selectionsort_ground-2.yml,cbmc_default,mo,0,0,0,0,0,504.2,15000.0
array-examples/sorting_selectionsort_ground-2.yml,esbmc_default,mo,0,0,0,0,0,313.0,15000.0
array-examples/sorting_selectionsort_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.6,493.6
array-examples/sorting_selectionsort_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.5,1210.0
array-examples/standard_allDiff2_ground.yml,cbmc_default,mo,0,0,0,0,0,621.1,15000.0
array-examples/standard_allDiff2_ground.yml,esbmc_default,mo,0,0,0,0,0,313.4,15000.0
array-examples/standard_allDiff2_ground.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.2,557.3
array-examples/standard_allDiff2_ground.yml,uautomizer_default,to,0,0,0,0,0,900.6,2195.4
array-examples/standard_copy2_ground-1.yml,cbmc_default,mo,0,0,0,0,0,186.4,15000.0
array-examples/standard_copy2_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.1,3978.6
array-examples/standard_copy2_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,570.6
array-examples/standard_copy2_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.4,830.3
array-examples/standard_copy2_ground-2.yml,cbmc_default,mo,0,0,0,0,0,161.0,15000.0
array-examples/standard_copy2_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.0,3470.6
array-examples/standard_copy2_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.7,494.7
array-examples/standard_copy2_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.5,1351.2
array-examples/standard_copy3_ground-1.yml,cbmc_default,mo,0,0,0,0,0,189.4,15000.0
array-examples/standard_copy3_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.0,4090.1
array-examples/standard_copy3_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.5,548.1
array-examples/standard_copy3_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.5,906.4
array-examples/standard_copy3_ground-2.yml,cbmc_default,mo,0,0,0,0,0,202.9,15000.0
array-examples/standard_copy3_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.1,4593.1
array-examples/standard_copy3_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.4,546.7
array-examples/standard_copy3_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.6,923.8
array-examples/standard_copy4_ground-1.yml,cbmc_default,mo,0,0,0,0,0,207.4,15000.0
array-examples/standard_copy4_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.1,4698.7
array-examples/standard_copy4_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.6,542.7
array-examples/standard_copy4_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.5,893.4
array-examples/standard_copy4_ground-2.yml,cbmc_default,mo,0,0,0,0,0,229.2,15000.0
array-examples/standard_copy4_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.1,5186.0
array-examples/standard_copy4_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.1,573.6
array-examples/standard_copy4_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.7,917.8
array-examples/standard_copy5_ground-1.yml,cbmc_default,mo,0,0,0,0,0,234.3,15000.0
array-examples/standard_copy5_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.2,5288.5
array-examples/standard_copy5_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.5,557.8
array-examples/standard_copy5_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.8,843.6
array-examples/standard_copy5_ground-2.yml,cbmc_default,mo,0,0,0,0,0,248.1,15000.0
array-examples/standard_copy5_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.2,5808.1
array-examples/standard_copy5_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.1,652.5
array-examples/standard_copy5_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.7,770.3
array-examples/standard_copy6_ground-1.yml,cbmc_default,mo,0,0,0,0,0,267.0,15000.0
array-examples/standard_copy6_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.2,6503.3
array-examples/standard_copy6_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.1,637.5
array-examples/standard_copy6_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.8,853.8
array-examples/standard_copy6_ground-2.yml,cbmc_default,mo,0,0,0,0,0,254.2,15000.0
array-examples/standard_copy6_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.2,5879.1
array-examples/standard_copy6_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.9,568.2
array-examples/standard_copy6_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.8,860.6
array-examples/standard_copy7_ground-1.yml,cbmc_default,mo,0,0,0,0,0,298.9,15000.0
array-examples/standard_copy7_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.2,7113.5
